Company Name,Industry,Listing Date,Current Price,Price Change (%),Offering Price,Change from Offering Price (%),Opening Price,Opening/Offering (%),First Day Closing Price,Financial Date,Annual Data,Operating Profit Margin,ROE,Debt Ratio,Quick Ratio,EPS,Competition Rate,Interest Rate,y
파두,반도체 및 관련 장비,2023-08-07,16450.0,0.55,31000.0,-46.94,26300.0,-15.16,27600.0,2022.12,V,2.67,380.21,66.4,448.07,-7308.0,79.75,3.5,-10.967741935483872
큐리옥스바이오시스템즈,바이오테크놀로지,2023-08-10,18920.0,-2.47,13000.0,45.54,13000.0,0.0,17330.0,2022.12,V,-157.81,-46.5,10.87,389.41,-1136.0,1193.68,3.5,33.307692307692314
코츠테크놀로지,반도체 및 관련 장비,2023-08-10,15500.0,-4.14,13000.0,19.23,25000.0,92.31,20400.0,2022.12,V,6.66,13.89,113.33,48.23,533.0,282.12,3.5,56.92307692307692
빅토리콘텐츠(구.빅텐츠),미디어,2023-08-17,25650.0,-2.47,23000.0,11.52,26900.0,16.96,26350.0,2022.12,V,5.36,18.06,107.12,80.17,536.0,181.33,3.5,14.565217391304348
넥스틸,철강,2023-08-21,9390.0,-2.9,11500.0,-18.35,11990.0,4.26,10740.0,2022.12,V,27.12,0.489,106.13,73.99,8835.0,4.63,3.5,-6.608695652173912
스마트레이더시스템,전자 장비 및 기기,2023-08-22,10470.0,-4.9,8000.0,30.88,16110.0,101.38,10470.0,2022.12,V,-137.03,866.5,43.64,227.36,-644.0,1366.31,3.5,30.875000000000004
시큐레터,소프트웨어,2023-08-24,6550.0,0.0,12000.0,-45.42,19000.0,58.33,24300.0,2022.12,V,-199.88,-90.78,29.91,269.8,-838.0,1698.41,3.5,102.49999999999999
인스웨이브시스템즈,소프트웨어,2023-09-25,4085.0,-2.97,24000.0,-82.98,36100.0,50.42,51500.0,2022.12,V,16.13,106.57,112.2,82.83,526.0,672.42,3.5,114.58333333333333
밀리의서재,소프트웨어,2023-09-27,13900.0,4.2,23000.0,-39.57,41100.0,78.7,41600.0,2022.12,V,9.1,-35.39,265.77,133.75,2033.0,618.9,3.5,80.8695652173913
한싹,소프트웨어,2023-10-04,4535.0,-4.53,12500.0,-63.72,37350.0,198.8,21500.0,2022.12,V,8.46,20.05,57.63,118.7,303.0,840.74,3.5,72.0
두산로보틱스,기계,2023-10-05,64800.0,-7.16,26000.0,149.23,59100.0,127.31,51400.0,2022.12,V,-29.43,-44.34,46.42,172.67,-259.0,272.03,3.5,97.6923076923077
레뷰코퍼레이션,소프트웨어,2023-10-06,11210.0,-2.1,15000.0,-25.27,40000.0,166.67,23000.0,2022.12,V,11.29,31.35,53.24,170.54,663.0,643.7,3.5,53.333333333333336
아이엠티,통신 장비,2023-10-10,7020.0,-3.97,14000.0,-49.86,28000.0,100.0,20750.0,2022.12,V,2.36,14.26,97.99,156.58,-72.0,753.5,3.5,48.214285714285715
퓨릿(구.신디프),화학,2023-10-18,5640.0,-2.59,10700.0,-47.29,15610.0,45.89,14460.0,2022.12,V,10.4,35.55,67.06,91.69,449.34,533.08,3.5,35.14018691588785
신성에스티,전자 장비 및 기기,2023-10-19,25400.0,-2.87,26000.0,-2.31,46050.0,77.12,39050.0,2021.12,V,6.22,28.59,78.51,63.06,970.0,583.5,3.5,50.19230769230769
에스엘에스바이오,바이오테크놀로지,2023-10-20,2020.0,-4.72,7000.0,-71.14,9330.0,33.29,6270.0,2022.12,V,7.41,98.96,135.53,93.67,1326.0,235.14,3.5,-10.428571428571429
워트,전자 장비 및 기기,2023-10-26,6650.0,-3.76,6500.0,2.31,10270.0,58.0,8650.0,2022.12,V,11.45,4.74,2.52,3471.05,172.0,793.26,3.5,33.07692307692307
퀄리타스반도체,반도체 및 관련 장비,2023-10-27,6790.0,-3.14,17000.0,-60.06,29200.0,71.76,20650.0,2022.12,V,-34.02,58.55,-454.64,116.99,-7025.38,818.52,3.5,21.470588235294116
유진테크놀로지,반도체 및 관련 장비,2023-11-02,4940.0,-4.08,17000.0,-70.94,24550.0,44.41,21200.0,2022.12,V,5.99,10.17,191.76,83.27,575.77,914.02,3.5,24.705882352941178
유투바이오,바이오테크놀로지,2023-11-02,2915.0,-2.02,4400.0,-33.75,6000.0,36.36,8550.0,2022.12,V,22.76,47.54,50.78,312.2,1303.0,1276.73,3.5,94.31818181818183
쏘닉스,전자 장비 및 기기,2023-11-07,2155.0,-3.58,7500.0,-71.27,10000.0,33.33,9430.0,2022.12,V,-21.49,-119.17,60.11,206.1,-6092.0,716.5,3.5,25.733333333333334
비아이매트릭스,소프트웨어,2023-11-09,8870.0,-0.56,13000.0,-31.77,17040.0,31.08,11660.0,2022.12,V,16.5,34.79,89.92,316.13,607.0,981.09,3.5,-10.307692307692308
컨텍,전자 장비 및 기기,2023-11-09,10540.0,1.35,22500.0,-53.16,19700.0,-12.44,15920.0,2022.12,V,-14.56,98.43,-368.0,52.0,-3153.0,198.93,3.5,-29.244444444444444
메가터치,전자 장비 및 기기,2023-11-09,3060.0,-5.99,4800.0,-36.25,6960.0,45.0,5590.0,2022.12,V,16.5,30.63,69.22,105.81,427.0,765.86,3.5,16.458333333333332
